# 時流さん独断
母	かあ
真魚鰹	ま|な|がつお
真似	ま|ね
真面目	ま|じ|め
神楽	かぐら
秦皮	とねりこ
親父	おや|じ
身柱	ちりけ
身動ぎ	み|じろ|ぎ
辛夷	こぶし
酢漿	かたばみ
図体	ずう|たい
吹雪	ふぶき
吹雪く	ふぶ||く
吹聴	ふい|ちょう
垂乳根	たら|ち|ね
水雲	もずく
水鶏	くいな
水松	みる
水蝋	いぼた
水黽	あめんぼ
随神	かんながら
数多	あまた
雀斑	そばかす
生業	なりわい
生絹	すずし
生憎	あい|にく
西瓜	すい|か
石女	うまず|め
石斑魚	うぐい
石蕗	つわ|ぶき
石榴	ざく|ろ
石蓴	あおさ
赤熊	しゃ|ぐま
赤埴	あか|ばね
赤楝蛇	やまかがし
接骨木	にわとこ
雪隠	せっ|ちん
雪洞	ぼんぼり
雪崩	なだれ
川原	かわら
浅葱	あさ|つき
旋風	つむじ|かぜ
旋毛	つむじ
善知鳥	うとう
祖父	じじ
祖母	ばば
粗目	ざら|め
素面	しらふ
素麺	そう|めん
蘇芳	す|おう
双六	すご|ろく
挿頭	かざし
挿頭す	かざ||す
早稲	わせ
早生	わせ
相応しい	ふさわ||し|い
相撲	すもう
草臥れ	くたび||れ
草臥れる	くたび||れ|る
草冠	そう|こう
草鞋	わらじ
蔵人	くろ|うど
息子	むす|こ
息吹き	い|ぶ|き
息吹く	い|ぶ|く
束子	たわ|し
足袋	たび
続飯	そく|い
卒塔婆	そ|と|ば
其方	そち
他人	ひと
太刀	た|ち
太夫	たゆう
打瀬	うた|せ
対屋	たいの|や
台詞	せりふ
大角豆	ささげ
大鋸	おが
大蛇	おろち
大人	おとな
大蒜	にんにく
大凡	おお|よそ
卓袱	ちゃ|ぶ
啄木鳥	きつつき
啄木鳥	けら
沢瀉	おもだか
濁声	だみ|ごえ
濁醪	どぶろく
只管	ひたすら
達磨	だる|ま
狸穴	まみ|あな
担桶	たご
探湯	くかたち
淡竹	は|ちく
炭団	た|どん
端折る	はしょ||る
鍛冶	かじ
団扇	うちわ
暖簾	の|れん
男郎花	おとこえし
蜘蛛	くも
竹刀	しない
竹麦魚	ほうぼう
仲人	なこ|うど
忠実	まめ
注連	しめ
猪牙	ちょ|き
猪口	ちょ|こ
丁稚	でっ|ち
丁髷	ちょん|まげ
暢気	のん|き
朝食	あさ|げ
朝臣	あそん
潮騒	しお|さい
銚釐	ちろ|り
長押	なげし
長閑	のどか
長刀	なぎなた
直会	なおらい
辻子	ず|し
釣瓶	つる|べ
剃刀	かみそり
提子	ひさげ
泥濘む	ぬかる||む
泥鰌	どじょう
摘入	つみれ
鉄刀木	たがやさん
鉄漿	かね
天蚕糸	てぐす
天辺	てっ|ぺん
添水	そう|ず
田舎	いなか
兎唇	いぐち
徒然	つれづれ
杜若	かきつばた
都々逸	ど|ど|いつ
鍍金	めっき
土器	かわらけ
土産	みやげ
土筆	つくし
土竜	むぐらもち
土竜	もぐら
冬瓜	とう|がん
唐鍬	とう|が
唐土	もろこし
塔頭	たっ|ちゅう
投網	と|あみ
東雲	しののめ
東風	こち
痘痕	いも
等閑	なおざり
豆汁	ご
透綾	すき|や
同胞	はらから
道程	みち|のり
銅鑼	ど|ら
徳利	とっく|り
独楽	こま
独活	うど
読経	ど|きょう
那谷	な|た
内蔵助	くらの||すけ
南風	はえ
二十歳	はたち
日向	ひ|なた
日和	ひ|より
乳母	うば
乳母	おんば
乳母	めのと
如何	いか
如何	いかが
如何	いかん
如月	きさらぎ
尿瓶	し|びん
忍冬	すいかずら
之繞	しん|にょう
馬酔木	あせび
馬刀貝	ま|て|がい
馬陸	やすで
馬銜	はみ
背負	しょい
背負う	しょ||う
梅雨	つゆ
梅桃	ゆすらうめ
売女	ばい|た
伯父	おじ
伯母	おば
博士	はか|せ
博打	ばくち
白熊	は|ぐま
白砂	しら|す
白湯	さ|ゆ
白髪	しら|が
白粉	おしろい
白膠木	ぬるで
白鑞	しろ|め
発意	ほち
発条	ばね
鳩尾	みぞおち
判官	じょう
反吐	へ|ど
斑鳩	いかる
繁縷	はこべ
彼処	あそこ
彼奴	あいつ
彼方	かなた
比丘	び|く
飛白	かすり
飛沫	しぶき
飛礫	つぶて
飛蝗	ばった
微温	ぬるま
微笑ましい	ほほ|え|ま|し|い
微笑み	ほほ|え|み
微笑む	ほほ|え|む
微風	そよ|かぜ
美人局	つつもたせ
美味しい	おい||し|い
百合	ゆり
百済	くだら
百舌	もず
百足	むかで
百日紅	さるすべり
氷柱	つらら
病犬	やま|いぬ
病葉	わくら|ば
不見転	みず||てん
不束	ふ|つつか
不知||火	しらぬい
不貞る	ふ|て|る
不貞腐れ	ふ|て|くさ|れ
不貞腐れる	ふ|て|くさ|れ|る
不味い	まず||い
夫婦	めおと
怖気	おぞ|け
浮塵子	うんか
阜偏	こざと|へん
撫子	なでし|こ
武士	もののふ
葡萄茶	えび||ちゃ
部屋	へ|や
風邪	かぜ
風邪声	かざ||ごえ
仏掌薯	つくねいも
聞説	きく|ならく
平伏す	ひれ|ふ|す
柄杓	ひ|しゃく
壁蝨	だに
片端	かた|わ
編木	びんざさら
遍羅	べ|ら
母屋	おも|や
泡沫	うたかた
胞衣	えな
亡骸	なき|がら
棒手振り	ぼ|て|ふ|り
防人	さきもり
北叟笑む	ほく|そ|え|む
翻車魚	まんぼう
麻疹	はしか
末枯れる	す|が|れ|る
万年青	おもと
蔓延る	はびこ||る
蜜柑	み|かん
名残り	な|ご|り
明太	めん|たい
明日	あした
明日	あす
迷子	まい|ご
滅入る	め|い|る
面皰	にきび
猛者	も|さ
木瓜	ぼけ
木偶	でく
木耳	き|くらげ
木賊	とくさ
木通	あけび
木天蓼	またたび
木菟	みみずく
木末	こ|ぬれ
木綿	ゆう
木槿	むくげ
目論む	もく|ろ|む
目論見	もく|ろ|み
勿忘草	わすれな||ぐさ
野老	ところ
弥生	や|よい
憂世	うき|よ
雄叫び	お|たけ|び
容易い	たやす||い
羊歯	しだ
羊蹄	ぎしぎし
陽炎	かげろう
浴衣	ゆかた
螺子	ねじ
裸足	はだし
落籍す	ひか||す
吏読	り|と
陸稲	おか|ぼ
流行	はやり
流行らす	はや||ら|す
流行る	はや||る
流石	さすが
流鏑馬	やぶさめ
流離	さすらい
硫黄	い|おう
竜胆	りん|どう
旅籠	はたご
凌霄花	のうぜんかずら
領巾	ひれ
緑鳩	あお|ばと
輪廻	りん|ね
零余子	むかご
漏斗	じょうご
狼煙	のろし
狼狽える	うろた||え|る
老舗	しにせ
蝋色	ろ|いろ
和毛	にこ|げ
佩刀	はかし
佩刀	はかせ
俎板	まな|いた
傀儡	くぐつ
傴僂	せむし
嘲笑う	あざ|わら|う
坩堝	るつぼ
孑孑	ぼうふら
巫女	みこ
帷子	かたびら
彷徨く	うろつ||く
悄気る	しょ|げ|る
悄気込む	しょ|げ|こ|む
悄気返る	しょ|げ|かえ|る
搗布	かじ|め
曰佐	お|さ
枳殻	からたち
梃子	て|こ
檳榔	び|ろう
櫺子	れん|じ
鬱金	う|こん
洒落	しゃ|れ
洒落る	しゃ|れ|る
洒落臭い	しゃ|ら|くさ|い
涅槃	ね|はん
渾名	あだ|な
澪標	みお|つくし
熨斗	のし
瞽女	ごぜ
礬水	どうさ
糅飯	かて|めし
罌粟	けし
羚羊	かもしか
脛巾	はばき
腋臭	わき|が
胼胝	たこ
苜蓿	うまごやし
茱萸	ぐみ
萵苣	ちしゃ
蘊奥	うん|のう
蚯蚓	みみず
蛞蝓	なめくじ
蜀黍	もろこし
蜉蝣	かげろう
蜻蛉	とんぼ
蜥蜴	とかげ
蝸牛	かたつむり
蝙蝠	こうもり
蟋蟀	こおろぎ
螽斯	きりぎりす
螻蛄	おけら
螻蛄	けら
蟷螂	かまきり
蟒蛇	うわばみ
褞袍	どてら
襁褓	むつ
襁褓	むつき
襤褸	ぼろ
譫言	うわ|ごと
賽子	さい|ころ
贔屓	ひい|き
蹌踉き	よろめ||き
蹌踉く	よろめ||く
蹌踉け	よろ||け
蹌踉ける	よろ||け|る
躊躇い	ためら||い
躊躇う	ためら||う
躑躅	つつじ
辣韮	らっ|きょう
饂飩	う|どん
驀地	まっしぐら
魑魅	すだま
鷦鷯	みそさざい
